STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170101,0.00,0.0,0.0,48,40,5.6,260,310,15.0,23.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170102,0.21,0.0,0.0,41,37,9.2,70,70,17.0,25.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170103,0.58,0.0,0.0,43,39,10.7,70,60,21.0,30.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170104,0.00,0.0,0.0,52,34,8.1,280,290,23.9,36.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170105,0.00,0.0,0.0,34,27,7.8,250,290,17.0,27.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170106,0.05,1.2,1.2,33,25,4.7,360,20,10.1,16.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170107,0.32,0.0,5.1,26,20,7.6,350,330,17.0,25.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170108,0.00,3.9,0.0,25,16,8.7,290,280,18.1,30.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170109,0.00,3.1,0.0,23,14,5.1,250,250,13.0,21.9,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170110,0.00,3.1,0.0,46,21,4.7,180,170,14.1,23.9,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170111,0.52,0.0,0.0,52,42,5.8,250,240,16.1,33.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170112,0.05,0.0,0.0,66,47,7.6,250,250,16.1,23.9,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170113,0.00,0.0,0.0,62,32,7.2,300,300,17.0,28.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170114,0.12,0.0,0.6,34,28,4.3,280,60,8.9,12.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170115,0.00,1.2,0.0,38,30,4.3,310,300,10.1,15.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170116,0.00,0.0,0.0,43,30,4.7,250,250,13.0,19.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170117,0.35,0.0,0.0,42,38,4.9,70,70,15.0,19.9,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170118,0.06,0.0,0.0,41,38,5.8,60,60,14.1,19.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170119,0.00,0.0,0.0,49,39,3.6,320,310,12.1,19.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170120,0.10,0.0,0.0,45,40,4.0,60,110,10.1,14.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170121,0.00,0.0,0.0,49,41,3.8,270,270,12.1,18.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170122,0.05,0.0,0.0,48,43,6.7,60,50,21.0,33.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170123,1.16,0.0,0.0,44,36,18.3,70,40,33.1,47.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170124,1.18,0.0,0.0,38,35,10.1,50,50,23.9,36.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170125,0.00,0.0,0.0,51,36,6.7,310,280,18.1,25.9,1340
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170126,0.02,0.0,0.0,56,43,6.7,290,270,21.0,38.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170127,0.00,0.0,0.0,43,36,8.9,290,260,18.1,33.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170128,0.00,0.0,0.0,39,34,7.8,270,260,16.1,27.1,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170129,0.00,0.0,0.0,43,35,5.8,260,260,15.0,23.9,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170130,0.00,0.0,0.0,37,30,6.3,310,330,15.0,21.9,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170131,0.06,0.0,1.0,34,26,4.0,80,80,12.1,15.0,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20170201,0.00,0.0,0.0,47,33,5.8,260,250,16.1,25.9,715
